Selecao;Orcado;Atualizado;Empenhado;Liquidado
*****Programa: Acesso a saude e qualidade no atendimento - Integralidade da atencao;269.158.419,00;316.328.818,91;291.624.452,44;259.501.031,46
******Projeto/Atividade: Aquisicao e Manutencao de Equipamentos para Hospital Mun. Dr. Carmino Caricchio - Hosp. Tatuape;3.500.000,00;3.500.000,00;0,00;0,00
*******Elemento Economico: Equipamentos e Material Permanente;3.000.000,00;3.000.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;3.000.000,00;3.000.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;3.000.000,00;3.000.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;3.000.000,00;3.000.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;500.000,00;500.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;500.000,00;500.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;500.000,00;500.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;500.000,00;500.000,00;0,00;0,00
******Projeto/Atividade: Oper./Manut. Unidades Hospitalares, Pronto Socorros e  Pronto Atendimento;265.497.419,00;312.667.818,91;291.602.028,57;259.478.715,47
*******Elemento Economico: Despesas de Exercicios Anteriores;0,00;32.724.934,37;32.687.325,28;32.687.325,10
********Categoria da Despesa: Despesas Correntes;0,00;32.724.934,37;32.687.325,28;32.687.325,10
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;32.724.934,37;32.687.325,28;32.687.325,10
**********Fonte: Tesouro Municipal;0,00;748.296,91;748.296,86;748.296,86
**********Fonte: Transferencias Federais;0,00;31.976.637,46;31.939.028,42;31.939.028,24
*******Elemento Economico: Equipamentos e Material Permanente;2.494.922,00;5.144.922,00;448.764,41;421.264,41
********Categoria da Despesa: Despesas de Capital;2.494.922,00;5.144.922,00;448.764,41;421.264,41
*********Modalidade da Despesa: Aplicacoes Diretas;2.494.922,00;5.144.922,00;448.764,41;421.264,41
**********Fonte: Recursos Proprios da Administracao Indireta;994.922,00;994.922,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.500.000,00;2.150.000,00;448.764,41;421.264,41
**********Fonte: Transferencias Federais;0,00;2.000.000,00;0,00;0,00
*******Elemento Economico: Locacao de Mao-de-Obra;14.403.000,00;1.073.000,00;1.040.714,53;1.040.714,53
********Categoria da Despesa: Despesas Correntes;14.403.000,00;1.073.000,00;1.040.714,53;1.040.714,53
*********Modalidade da Despesa: Aplicacoes Diretas;14.403.000,00;1.073.000,00;1.040.714,53;1.040.714,53
**********Fonte: Tesouro Municipal;14.403.000,00;1.073.000,00;1.040.714,53;1.040.714,53
*******Elemento Economico: Material de Consumo;8.499.007,00;80.049.007,00;74.553.744,47;58.717.686,91
********Categoria da Despesa: Despesas Correntes;8.499.007,00;80.049.007,00;74.553.744,47;58.717.686,91
*********Modalidade da Despesa: Aplicacoes Diretas;8.499.007,00;80.049.007,00;74.553.744,47;58.717.686,91
**********Fonte: Tesouro Municipal;8.499.007,00;9.049.007,00;8.769.119,89;7.775.399,64
**********Fonte: Transferencias Federais;0,00;71.000.000,00;65.784.624,58;50.942.287,27
*******Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;165.375,00;95.375,00;89.808,60;89.808,60
********Categoria da Despesa: Despesas Correntes;165.375,00;95.375,00;89.808,60;89.808,60
*********Modalidade da Despesa: Aplicacoes Diretas;165.375,00;95.375,00;89.808,60;89.808,60
**********Fonte: Tesouro Municipal;165.375,00;95.375,00;89.808,60;89.808,60
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;1.091.000,00;341.000,00;307.990,29;307.990,29
********Categoria da Despesa: Despesas Correntes;1.091.000,00;341.000,00;307.990,29;307.990,29
*********Modalidade da Despesa: Aplicacoes Diretas;1.091.000,00;341.000,00;307.990,29;307.990,29
**********Fonte: Tesouro Municipal;1.091.000,00;341.000,00;307.990,29;307.990,29
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;217.692.497,00;172.628.462,54;162.574.778,23;150.061.214,31
********Categoria da Despesa: Despesas Correntes;217.692.497,00;172.628.462,54;162.574.778,23;150.061.214,31
*********Modalidade da Despesa: Aplicacoes Diretas;217.692.497,00;172.628.462,54;162.574.778,23;150.061.214,31
**********Fonte: Recursos Proprios da Administracao Indireta;490.100,00;490.100,00;228.636,67;140.000,00
**********Fonte: Tesouro Municipal;98.270.000,00;110.579.000,00;109.570.582,25;104.196.434,31
**********Fonte: Transferencias Federais;118.932.397,00;61.559.362,54;52.775.559,31;45.724.780,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;21.120.000,00;20.606.500,00;19.895.724,82;16.149.533,38
********Categoria da Despesa: Despesas Correntes;21.120.000,00;20.606.500,00;19.895.724,82;16.149.533,38
*********Modalidade da Despesa: Transferencias a Instituicoes Privadas sem fins Lucrativos;21.120.000,00;20.606.500,00;19.895.724,82;16.149.533,38
**********Fonte: Tesouro Municipal;21.120.000,00;20.606.500,00;19.895.724,82;16.149.533,38
*******Elemento Economico: Passagens e Despesas com Locomocao;31.618,00;4.618,00;3.177,94;3.177,94
********Categoria da Despesa: Despesas Correntes;31.618,00;4.618,00;3.177,94;3.177,94
*********Modalidade da Despesa: Aplicacoes Diretas;31.618,00;4.618,00;3.177,94;3.177,94
**********Fonte: Tesouro Municipal;31.618,00;4.618,00;3.177,94;3.177,94
******Projeto/Atividade: Projeto Sentinela;161.000,00;161.000,00;22.423,87;22.315,99
*******Elemento Economico: Diarias - Civil;8.000,00;8.000,00;2.416,38;2.416,38
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;2.416,38;2.416,38
*********Modalidade da Despesa: Aplicacoes Diretas;8.000,00;8.000,00;2.416,38;2.416,38
**********Fonte: Transferencias Federais;8.000,00;8.000,00;2.416,38;2.416,38
*******Elemento Economico: Equipamentos e Material Permanente;85.000,00;85.000,00;360,00;360,00
********Categoria da Despesa: Despesas de Capital;85.000,00;85.000,00;360,00;360,00
*********Modalidade da Despesa: Aplicacoes Diretas;85.000,00;85.000,00;360,00;360,00
**********Fonte: Transferencias Federais;85.000,00;85.000,00;360,00;360,00
*******Elemento Economico: Material de Consumo;20.000,00;20.000,00;2.205,00;2.205,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;2.205,00;2.205,00
*********Modalidade da Despesa: Aplicacoes Diretas;20.000,00;20.000,00;2.205,00;2.205,00
**********Fonte: Transferencias Federais;20.000,00;20.000,00;2.205,00;2.205,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;40.000,00;40.000,00;15.665,13;15.665,13
********Categoria da Despesa: Despesas Correntes;40.000,00;40.000,00;15.665,13;15.665,13
*********Modalidade da Despesa: Aplicacoes Diretas;40.000,00;40.000,00;15.665,13;15.665,13
**********Fonte: Transferencias Federais;40.000,00;40.000,00;15.665,13;15.665,13
*******Elemento Economico: Passagens e Despesas com Locomocao;8.000,00;8.000,00;1.777,36;1.669,48
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;1.777,36;1.669,48
*********Modalidade da Despesa: Aplicacoes Diretas;8.000,00;8.000,00;1.777,36;1.669,48
**********Fonte: Transferencias Federais;8.000,00;8.000,00;1.777,36;1.669,48
****Sub-Funcao: Tecnologia da Informacao;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
*****Programa: Sistema de informacao e processamento de dados;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
******Projeto/Atividade: Implantacao e Operacao de Sistemas de Informacao e Comunicacao;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
********Categoria da Despesa: Despesas Correntes;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
*********Modalidade da Despesa: Aplicacoes Diretas;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
**********Fonte: Tesouro Municipal;17.353.000,00;16.853.000,00;16.669.928,29;14.926.666,14
*Orgao: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;10.000,00;10.000,00;0,00;0,00
**Unidade: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;10.000,00;10.000,00;0,00;0,00
***Funcao: Urbanismo;10.000,00;10.000,00;0,00;0,00
****Sub-Funcao: Servicos Urbanos;10.000,00;10.000,00;0,00;0,00
*****Programa: Gestao adequada dos residuos solidos;10.000,00;10.000,00;0,00;0,00
******Projeto/Atividade: Implementacao da Autoridade Municipal de Limpeza Urbana/FMLU;10.000,00;10.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;10.000,00;10.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;10.000,00;10.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.000,00;10.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.000,00;10.000,00;0,00;0,00
*Orgao: Camara Municipal;453.429.761,00;433.429.761,00;336.850.567,50;287.558.145,08
**Unidade: Camara Municipal;444.307.761,00;424.307.761,00;331.206.258,70;284.122.000,00
***Funcao: Legislativa;444.307.761,00;424.307.761,00;331.206.258,70;284.122.000,00
****Sub-Funcao: Acao Legislativa;404.828.636,00;384.828.636,00;298.456.258,70;260.102.000,00
*****Programa: Processo Legislativo;373.028.636,00;373.028.636,00;296.796.000,00;260.102.000,00
******Projeto/Atividade: Administracao da Camara Municipal de Sao Paulo;373.028.636,00;373.028.636,00;296.796.000,00;260.102.000,00
*******Elemento Economico: Auxilio-Transporte;600.000,00;600.000,00;600.000,00;560.000,00
********Categoria da Despesa: Despesas Correntes;600.000,00;600.000,00;600.000,00;560.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;600.000,00;600.000,00;600.000,00;560.000,00
**********Fonte: Tesouro Municipal;600.000,00;600.000,00;600.000,00;560.000,00
*******Elemento Economico: Despesas de Exercicios Anteriores;100.000,00;100.000,00;100.000,00;16.000,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;100.000,00;16.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;100.000,00;100.000,00;16.000,00
**********Fonte: Tesouro Municipal;100.000,00;100.000,00;100.000,00;16.000,00
*******Elemento Economico: Despesas de Exercicios Anteriores;4.191.349,00;2.611.349,00;330.000,00;330.000,00
********Categoria da Despesa: Despesas Correntes;4.191.349,00;2.611.349,00;330.000,00;330.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;4.191.349,00;2.611.349,00;330.000,00;330.000,00
**********Fonte: Tesouro Municipal;4.191.349,00;2.611.349,00;330.000,00;330.000,00
*******Elemento Economico: Diarias - Civil;50.000,00;50.000,00;30.000,00;30.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;30.000,00;30.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;30.000,00;30.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;30.000,00;30.000,00
*******Elemento Economico: Equipamentos e Material Permanente;2.002.098,00;2.002.098,00;1.200.000,00;300.000,00
********Categoria da Despesa: Despesas de Capital;2.002.098,00;2.002.098,00;1.200.000,00;300.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.002.098,00;2.002.098,00;1.200.000,00;300.000,00
**********Fonte: Tesouro Municipal;2.002.098,00;2.002.098,00;1.200.000,00;300.000,00
*******Elemento Economico: Indenizacoes e Restituicoes;8.000.000,00;8.000.000,00;6.000.000,00;3.750.000,00
********Categoria da Despesa: Despesas Correntes;8.000.000,00;8.000.000,00;6.000.000,00;3.750.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;8.000.000,00;8.000.000,00;6.000.000,00;3.750.000,00
**********Fonte: Tesouro Municipal;8.000.000,00;8.000.000,00;6.000.000,00;3.750.000,00
*******Elemento Economico: Indenizacoes Trabalhistas;1.500.000,00;3.000.000,00;3.000.000,00;1.700.000,00
********Categoria da Despesa: Despesas Correntes;1.500.000,00;3.000.000,00;3.000.000,00;1.700.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.500.000,00;3.000.000,00;3.000.000,00;1.700.000,00
**********Fonte: Tesouro Municipal;1.500.000,00;3.000.000,00;3.000.000,00;1.700.000,00
*******Elemento Economico: Locacao de Mao-de-Obra;7.006.159,00;7.006.159,00;5.500.000,00;4.300.000,00
********Categoria da Despesa: Despesas Correntes;7.006.159,00;7.006.159,00;5.500.000,00;4.300.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;7.006.159,00;7.006.159,00;5.500.000,00;4.300.000,00
**********Fonte: Tesouro Municipal;7.006.159,00;7.006.159,00;5.500.000,00;4.300.000,00
*******Elemento Economico: Material de Consumo;3.945.861,00;3.945.861,00;1.650.000,00;1.350.000,00
********Categoria da Despesa: Despesas Correntes;3.945.861,00;3.945.861,00;1.650.000,00;1.350.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;3.945.861,00;3.945.861,00;1.650.000,00;1.350.000,00
**********Fonte: Tesouro Municipal;3.945.861,00;3.945.861,00;1.650.000,00;1.350.000,00
*******Elemento Economico: Material de Distribuicao Gratuita;20.000,00;20.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;20.000,00;20.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;20.000,00;20.000,00;0,00;0,00
*******Elemento Economico: Obrigacoes Patronais;32.117.750,00;32.117.750,00;25.000.000,00;21.200.000,00
********Categoria da Despesa: Despesas Correntes;32.117.750,00;32.117.750,00;25.000.000,00;21.200.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;32.117.750,00;32.117.750,00;25.000.000,00;21.200.000,00
**********Fonte: Tesouro Municipal;32.117.750,00;32.117.750,00;25.000.000,00;21.200.000,00
*******Elemento Economico: Obrigacoes Patronais - RPPS;22.034.595,00;22.034.595,00;19.800.000,00;15.600.000,00
********Categoria da Despesa: Despesas Correntes;22.034.595,00;22.034.595,00;19.800.000,00;15.600.000,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;22.034.595,00;22.034.595,00;19.800.000,00;15.600.000,00
**********Fonte: Tesouro Municipal;22.034.595,00;22.034.595,00;19.800.000,00;15.600.000,00
*******Elemento Economico: Outros Beneficios Assistenciais;400.000,00;480.000,00;400.000,00;400.000,00
********Categoria da Despesa: Despesas Correntes;400.000,00;480.000,00;400.000,00;400.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;400.000,00;480.000,00;400.000,00;400.000,00
**********Fonte: Tesouro Municipal;400.000,00;480.000,00;400.000,00;400.000,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;50.000,00;50.000,00;20.000,00;20.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;20.000,00;20.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;20.000,00;20.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;20.000,00;20.000,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;58.030.091,00;58.030.091,00;25.000.000,00;20.400.000,00
********Categoria da Despesa: Despesas Correntes;58.030.091,00;58.030.091,00;25.000.000,00;20.400.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;58.030.091,00;58.030.091,00;25.000.000,00;20.400.000,00
**********Fonte: Tesouro Municipal;58.030.091,00;58.030.091,00;25.000.000,00;20.400.000,00
*******Elemento Economico: Passagens e Despesas com Locomocao;64.000,00;64.000,00;44.000,00;44.000,00
********Categoria da Despesa: Despesas Correntes;64.000,00;64.000,00;44.000,00;44.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;64.000,00;64.000,00;44.000,00;44.000,00
**********Fonte: Tesouro Municipal;64.000,00;64.000,00;44.000,00;44.000,00
*******Elemento Economico: Premiacoes Culturais, Artisticas, Cientificas, Desport. e Outras;79.166,00;79.166,00;70.000,00;50.000,00
********Categoria da Despesa: Despesas Correntes;79.166,00;79.166,00;70.000,00;50.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;79.166,00;79.166,00;70.000,00;50.000,00
**********Fonte: Tesouro Municipal;79.166,00;79.166,00;70.000,00;50.000,00
*******Elemento Economico: Salario Familia;5.000,00;5.000,00;2.000,00;2.000,00
********Categoria da Despesa: Despesas Correntes;5.000,00;5.000,00;2.000,00;2.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;5.000,00;5.000,00;2.000,00;2.000,00
**********Fonte: Tesouro Municipal;5.000,00;5.000,00;2.000,00;2.000,00
*******Elemento Economico: Servicos de Consultoria;2.328.868,00;2.328.868,00;50.000,00;50.000,00
********Categoria da Despesa: Despesas Correntes;2.328.868,00;2.328.868,00;50.000,00;50.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.328.868,00;2.328.868,00;50.000,00;50.000,00
**********Fonte: Tesouro Municipal;2.328.868,00;2.328.868,00;50.000,00;50.000,00
*******Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;230.503.699,00;230.503.699,00;208.000.000,00;190.000.000,00
********Categoria da Despesa: Despesas Correntes;230.503.699,00;230.503.699,00;208.000.000,00;190.000.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;230.503.699,00;230.503.699,00;208.000.000,00;190.000.000,00
**********Fonte: Tesouro Municipal;230.503.699,00;230.503.699,00;208.000.000,00;190.000.000,00
*****Programa: Suporte administrativo;31.800.000,00;11.800.000,00;1.660.258,70;0,00
******Projeto/Atividade: Construcao de Edificacoes da Camara Municipal de Sao Paulo;21.200.000,00;6.200.000,00;734.640,87;0,00
*******Elemento Economico: Obras e Instalacoes;10.000.000,00;5.000.000,00;734.640,87;0,00
********Categoria da Despesa: Despesas de Capital;10.000.000,00;5.000.000,00;734.640,87;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.000.000,00;5.000.000,00;734.640,87;0,00
**********Fonte: Tesouro Municipal;10.000.000,00;5.000.000,00;734.640,87;0,00
