Selecao;Orcado;Atualizado;Empenhado;Liquidado
********Elemento Economico: Sentencas Judiciais;500.000,00;270.000,00;259.544,95;259.544,95
*********Modalidade da Despesa: Aplicacoes Diretas;500.000,00;270.000,00;259.544,95;259.544,95
**********Fonte: Recursos Proprios;500.000,00;270.000,00;259.544,95;259.544,95
********Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;45.000.000,00;214.721.855,00;211.536.450,24;211.480.896,68
*********Modalidade da Despesa: Aplicacoes Diretas;45.000.000,00;214.721.855,00;211.536.450,24;211.480.896,68
**********Fonte: Recursos Proprios;45.000.000,00;212.899.000,00;209.718.595,24;209.663.041,68
**********Fonte: Recursos Proprios da Adm. Indireta;0,00;5.000,00;0,00;0,00
**********Fonte: Transferencias Federais;0,00;1.817.855,00;1.817.855,00;1.817.855,00
*******Categoria da Despesa: Despesas de Capital;201.000,00;166.000,00;165.800,28;104.286,00
********Elemento Economico: Equipamentos e Material Permanente;201.000,00;166.000,00;165.800,28;104.286,00
*********Modalidade da Despesa: Aplicacoes Diretas;201.000,00;166.000,00;165.800,28;104.286,00
**********Fonte: Recursos Proprios da Adm. Indireta;201.000,00;166.000,00;165.800,28;104.286,00
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;46.524.000,00;214.685.897,00;206.687.073,28;157.956.744,10
*****Programa: Integralidade da Atencao;46.524.000,00;214.685.897,00;206.687.073,28;157.956.744,10
******Projeto/Atividade: Oper./Manut. Unid.Hospitalares, P.Socorros/Atendimentos e Ambulatorios;46.413.000,00;214.524.897,00;206.676.908,47;157.946.658,04
*******Categoria da Despesa: Despesas Correntes;46.213.000,00;213.371.897,00;205.837.176,03;157.424.121,40
********Elemento Economico: Despesas de Exercicios Anteriores;0,00;35.000,00;33.957,55;33.957,55
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;35.000,00;33.957,55;33.957,55
**********Fonte: Transferencias Federais;0,00;35.000,00;33.957,55;33.957,55
********Elemento Economico: Indenizacoes e Restituicoes;0,00;205.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;205.000,00;0,00;0,00
**********Fonte: Transferencias Federais;0,00;205.000,00;0,00;0,00
********Elemento Economico: Locacao de Mao-de-Obra;6.700.000,00;11.964.000,00;11.963.105,45;10.069.361,82
*********Modalidade da Despesa: Aplicacoes Diretas;6.700.000,00;11.964.000,00;11.963.105,45;10.069.361,82
**********Fonte: Recursos Proprios;6.700.000,00;11.964.000,00;11.963.105,45;10.069.361,82
********Elemento Economico: Material de Consumo;18.111.000,00;69.031.845,00;65.716.416,83;43.286.610,86
*********Modalidade da Despesa: Aplicacoes Diretas;18.111.000,00;69.031.845,00;65.716.416,83;43.286.610,86
**********Fonte: Recursos Proprios;1.890.000,00;13.229.000,00;10.792.342,62;6.735.873,65
**********Fonte: Recursos Proprios da Adm. Indireta;0,00;75.200,00;74.609,54;12.481,24
**********Fonte: Transferencias Federais;16.221.000,00;55.727.645,00;54.849.464,67;36.538.255,97
********Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;2.000,00;119.110,00;90.481,50;90.481,50
*********Modalidade da Despesa: Aplicacoes Diretas;2.000,00;119.110,00;90.481,50;90.481,50
**********Fonte: Recursos Proprios;2.000,00;119.110,00;90.481,50;90.481,50
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;0,00;83.779,00;65.059,11;64.800,84
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;83.779,00;65.059,11;64.800,84
**********Fonte: Recursos Proprios;0,00;83.779,00;65.059,11;64.800,84
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;21.400.000,00;131.933.163,00;127.968.155,59;103.878.908,83
*********Modalidade da Despesa: Aplicacoes Diretas;21.400.000,00;131.933.163,00;127.968.155,59;103.878.908,83
**********Fonte: Recursos Proprios;21.400.000,00;124.456.163,00;121.031.536,00;98.173.559,72
**********Fonte: Recursos Proprios da Adm. Indireta;0,00;240.000,00;0,00;0,00
**********Fonte: Transferencias Federais;0,00;7.237.000,00;6.936.619,59;5.705.349,11
********Elemento Economico: Passagens e Despesas com Locomocao;0,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;0,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas de Capital;200.000,00;1.153.000,00;839.732,44;522.536,64
********Elemento Economico: Equipamentos e Material Permanente;200.000,00;1.153.000,00;839.732,44;522.536,64
*********Modalidade da Despesa: Aplicacoes Diretas;200.000,00;1.153.000,00;839.732,44;522.536,64
**********Fonte: Recursos Proprios;200.000,00;736.000,00;735.939,44;458.376,64
**********Fonte: Recursos Proprios da Adm. Indireta;0,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;0,00;417.000,00;103.793,00;64.160,00
******Projeto/Atividade: Projeto Sentinela;111.000,00;161.000,00;10.164,81;10.086,06
*******Categoria da Despesa: Despesas Correntes;61.000,00;76.000,00;10.164,81;10.086,06
********Elemento Economico: Diarias - Civil;8.000,00;8.000,00;895,11;895,11
*********Modalidade da Despesa: Aplicacoes Diretas;8.000,00;8.000,00;895,11;895,11
**********Fonte: Transferencias Federais;8.000,00;8.000,00;895,11;895,11
********Elemento Economico: Material de Consumo;10.000,00;20.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.000,00;20.000,00;0,00;0,00
**********Fonte: Transferencias Federais;10.000,00;20.000,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;35.000,00;40.000,00;3.552,91;3.552,91
*********Modalidade da Despesa: Aplicacoes Diretas;35.000,00;40.000,00;3.552,91;3.552,91
**********Fonte: Transferencias Federais;35.000,00;40.000,00;3.552,91;3.552,91
********Elemento Economico: Passagens e Despesas com Locomocao;8.000,00;8.000,00;5.716,79;5.638,04
*********Modalidade da Despesa: Aplicacoes Diretas;8.000,00;8.000,00;5.716,79;5.638,04
**********Fonte: Transferencias Federais;8.000,00;8.000,00;5.716,79;5.638,04
*******Categoria da Despesa: Despesas de Capital;50.000,00;85.000,00;0,00;0,00
********Elemento Economico: Equipamentos e Material Permanente;50.000,00;85.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;85.000,00;0,00;0,00
**********Fonte: Transferencias Federais;50.000,00;85.000,00;0,00;0,00
*Orgao: Autarquia Hospitalar Municipal Regional Leste;140.653.227,00;0,00;0,00;0,00
**Unidade: Autarquia Hospitalar Municipal Regional Leste;140.653.227,00;0,00;0,00;0,00
***Funcao: Saude;140.653.227,00;0,00;0,00;0,00
****Sub-Funcao: Administracao Geral;84.038.448,00;0,00;0,00;0,00
*****Programa: Suporte Administrativo;84.038.448,00;0,00;0,00;0,00
******Projeto/Atividade: Coordenacao e Administracao Geral;84.038.448,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas Correntes;84.038.448,00;0,00;0,00;0,00
********Elemento Economico: Auxilio-Alimentacao;4.521.226,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;4.521.226,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;4.521.226,00;0,00;0,00;0,00
********Elemento Economico: Auxilio-Transporte;1.209.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.209.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;1.209.000,00;0,00;0,00;0,00
********Elemento Economico: Contratacao por Tempo Determinado;10.843.332,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.843.332,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;10.843.332,00;0,00;0,00;0,00
********Elemento Economico: Indenizacoes Trabalhistas;1.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.000.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;1.000.000,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;630.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;630.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;630.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Patronais;15.100.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;15.100.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;15.100.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Patronais - RPPS;2.770.148,00;0,00;0,00;0,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;2.770.148,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;2.770.148,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Tributarias e Contributivas;5.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;5.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;5.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;3.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;3.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;3.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;1.242.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.242.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;1.242.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;1.014.742,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.014.742,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;1.014.742,00;0,00;0,00;0,00
********Elemento Economico: Sentencas Judiciais;100.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;100.000,00;0,00;0,00;0,00
********Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;45.600.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;45.600.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;45.600.000,00;0,00;0,00;0,00
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;56.614.779,00;0,00;0,00;0,00
*****Programa: Integralidade da Atencao;56.614.779,00;0,00;0,00;0,00
******Projeto/Atividade: Oper./Manut. Unid.Hospitalares, P.Socorros/Atendimentos e Ambulatorios;56.614.779,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas Correntes;55.022.779,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;19.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;19.000.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;1.000.000,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;18.000.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;26.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;26.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;26.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;73.779,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;73.779,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;73.779,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;35.923.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;35.923.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;32.423.000,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;3.500.000,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas de Capital;1.592.000,00;0,00;0,00;0,00
********Elemento Economico: Equipamentos e Material Permanente;1.592.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.592.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;500.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios da Adm. Indireta;200.000,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;892.000,00;0,00;0,00;0,00
*Orgao: Autarquia Hospitalar Municipal Regional Sudeste;71.051.000,00;0,00;0,00;0,00
**Unidade: Autarquia Hospitalar Municipal Regional Sudeste;71.051.000,00;0,00;0,00;0,00
***Funcao: Saude;71.051.000,00;0,00;0,00;0,00
****Sub-Funcao: Administracao Geral;40.816.000,00;0,00;0,00;0,00
*****Programa: Suporte Administrativo;40.816.000,00;0,00;0,00;0,00
******Projeto/Atividade: Coordenacao e Administracao Geral;40.816.000,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas Correntes;40.816.000,00;0,00;0,00;0,00
********Elemento Economico: Auxilio-Alimentacao;2.350.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.350.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;2.350.000,00;0,00;0,00;0,00
********Elemento Economico: Auxilio-Transporte;860.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;860.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;860.000,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;151.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;151.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;151.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Patronais;6.080.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;6.080.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;6.080.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Patronais - RPPS;1.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;1.000.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;1.000.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Tributarias e Contributivas;700.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;700.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;700.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;370.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;370.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;370.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;3.500.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;3.500.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;3.500.000,00;0,00;0,00;0,00
********Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;25.805.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;25.805.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;25.800.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios da Adm. Indireta;5.000,00;0,00;0,00;0,00
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;30.235.000,00;0,00;0,00;0,00
*****Programa: Integralidade da Atencao;30.235.000,00;0,00;0,00;0,00
******Projeto/Atividade: Oper./Manut. Unid.Hospitalares, P.Socorros/Atendimentos e Ambulatorios;30.235.000,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas Correntes;29.904.000,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;8.572.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;8.572.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;300.000,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;8.272.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;29.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;29.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;29.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;21.301.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;21.301.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;17.800.000,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;3.501.000,00;0,00;0,00;0,00
********Elemento Economico: Passagens e Despesas com Locomocao;2.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;2.000,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas de Capital;331.000,00;0,00;0,00;0,00
********Elemento Economico: Equipamentos e Material Permanente;331.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;331.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;331.000,00;0,00;0,00;0,00
*Orgao: Autarquia Hospitalar Municipal Regional Sul;102.388.421,00;0,00;0,00;0,00
**Unidade: Autarquia Hospitalar Municipal Regional Sul;102.388.421,00;0,00;0,00;0,00
***Funcao: Saude;102.388.421,00;0,00;0,00;0,00
****Sub-Funcao: Administracao Geral;63.504.221,00;0,00;0,00;0,00
*****Programa: Suporte Administrativo;63.504.221,00;0,00;0,00;0,00
******Projeto/Atividade: Coordenacao e Administracao Geral;63.504.221,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas Correntes;63.504.221,00;0,00;0,00;0,00
********Elemento Economico: Auxilio-Alimentacao;3.120.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;3.120.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;3.120.000,00;0,00;0,00;0,00
********Elemento Economico: Auxilio-Transporte;748.221,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;748.221,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;748.221,00;0,00;0,00;0,00
********Elemento Economico: Diarias - Civil;12.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;12.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;12.000,00;0,00;0,00;0,00
********Elemento Economico: Indenizacoes Trabalhistas;840.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;840.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;840.000,00;0,00;0,00;0,00
********Elemento Economico: Locacao de Mao-de-Obra;515.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;515.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;515.000,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;494.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;494.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;437.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios da Adm. Indireta;57.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Patronais;9.360.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;9.360.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;9.360.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Patronais - RPPS;840.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;840.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;840.000,00;0,00;0,00;0,00
********Elemento Economico: Obrigacoes Tributarias e Contributivas;28.200,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;28.200,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;28.200,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;2.638.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.638.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;2.638.000,00;0,00;0,00;0,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;7.195.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;7.195.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;7.190.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios da Adm. Indireta;5.000,00;0,00;0,00;0,00
********Elemento Economico: Passagens e Despesas com Locomocao;13.800,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;13.800,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;13.800,00;0,00;0,00;0,00
********Elemento Economico: Sentencas Judiciais;300.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;300.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;300.000,00;0,00;0,00;0,00
********Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;37.400.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;37.400.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;37.400.000,00;0,00;0,00;0,00
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;38.884.200,00;0,00;0,00;0,00
*****Programa: Integralidade da Atencao;38.884.200,00;0,00;0,00;0,00
******Projeto/Atividade: Oper./Manut. Unid.Hospitalares, P.Socorros/Atendimentos e Ambulatorios;38.834.200,00;0,00;0,00;0,00
*******Categoria da Despesa: Despesas Correntes;38.724.200,00;0,00;0,00;0,00
********Elemento Economico: Locacao de Mao-de-Obra;10.900.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.900.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;10.900.000,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;12.259.200,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;12.259.200,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;4.000.000,00;0,00;0,00;0,00
