Selecao;Orcado;Atualizado;Empenhado;Liquidado
********Categoria da Despesa: Despesas Correntes;100.000,00;41.473,52;41.473,52;26.666,34
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;41.473,52;41.473,52;26.666,34
**********Fonte: Recursos Proprios;100.000,00;41.473,52;41.473,52;26.666,34
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
********Categoria da Despesa: Despesas Correntes;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
*********Modalidade da Despesa: Aplicacoes Diretas;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
**********Fonte: Recursos Proprios;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;28.333.302,00;28.259.971,00;22.233.077,73;20.986.839,72
********Categoria da Despesa: Despesas Correntes;28.333.302,00;28.259.971,00;22.233.077,73;20.986.839,72
*********Modalidade da Despesa: Aplicacoes Diretas;28.333.302,00;28.259.971,00;22.233.077,73;20.986.839,72
**********Fonte: Recursos Proprios;27.332.301,00;27.258.970,00;21.748.100,00;20.544.885,23
**********Fonte: Transferencias Federais;1.001.001,00;1.001.001,00;484.977,73;441.954,49
*******Elemento Economico: Passagens e Despesas com Locomocao;40.000,00;18.048,38;18.048,38;17.726,31
********Categoria da Despesa: Despesas Correntes;40.000,00;18.048,38;18.048,38;17.726,31
*********Modalidade da Despesa: Aplicacoes Diretas;40.000,00;18.048,38;18.048,38;17.726,31
**********Fonte: Recursos Proprios;40.000,00;18.048,38;18.048,38;17.726,31
*******Elemento Economico: Sentencas Judiciais;500.000,00;600.000,00;545.000,00;544.388,97
********Categoria da Despesa: Despesas Correntes;500.000,00;600.000,00;545.000,00;544.388,97
*********Modalidade da Despesa: Aplicacoes Diretas;500.000,00;600.000,00;545.000,00;544.388,97
**********Fonte: Recursos Proprios;500.000,00;600.000,00;545.000,00;544.388,97
*******Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
********Categoria da Despesa: Despesas Correntes;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
*********Modalidade da Despesa: Aplicacoes Diretas;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
**********Fonte: Recursos Proprios;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;232.465.060,00;237.549.021,52;211.066.052,64;153.644.724,26
*****Programa: Integralidade da Atencao;232.465.060,00;237.549.021,52;211.066.052,64;153.644.724,26
******Projeto/Atividade: Oper./Manut. Unidades Hospitalares, Pronto Socorros e  Pronto Atendimento;232.305.060,00;237.389.021,52;211.048.781,39;153.635.829,41
*******Elemento Economico: Despesas de Exercicios Anteriores;0,00;520.250,93;520.250,93;0,00
********Categoria da Despesa: Despesas Correntes;0,00;520.250,93;520.250,93;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;520.250,93;520.250,93;0,00
**********Fonte: Recursos Proprios;0,00;520.250,93;520.250,93;0,00
*******Elemento Economico: Equipamentos e Material Permanente;1.565.000,00;3.376.497,44;1.834.538,69;362.352,45
********Categoria da Despesa: Despesas de Capital;1.565.000,00;3.376.497,44;1.834.538,69;362.352,45
*********Modalidade da Despesa: Aplicacoes Diretas;1.565.000,00;3.376.497,44;1.834.538,69;362.352,45
**********Fonte: Recursos Proprios;1.500.000,00;3.311.497,44;1.799.352,45;362.352,45
**********Fonte: Recursos Proprios da Adm. Indireta;38.000,00;38.000,00;10.800,00;0,00
**********Fonte: Transferencias Federais;27.000,00;27.000,00;24.386,24;0,00
*******Elemento Economico: Locacao de Mao-de-Obra;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
********Categoria da Despesa: Despesas Correntes;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
*********Modalidade da Despesa: Aplicacoes Diretas;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
**********Fonte: Recursos Proprios;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
*******Elemento Economico: Material de Consumo;89.772.000,00;88.564.756,97;79.774.915,03;42.619.186,11
********Categoria da Despesa: Despesas Correntes;89.772.000,00;88.564.756,97;79.774.915,03;42.619.186,11
*********Modalidade da Despesa: Aplicacoes Diretas;89.772.000,00;88.564.756,97;79.774.915,03;42.619.186,11
**********Fonte: Recursos Proprios;11.000.000,00;9.792.756,97;8.634.135,91;6.410.198,87
**********Fonte: Transferencias Federais;78.772.000,00;78.772.000,00;71.140.779,12;36.208.987,24
*******Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;150.000,00;108.497,00;104.963,00;104.963,00
********Categoria da Despesa: Despesas Correntes;150.000,00;108.497,00;104.963,00;104.963,00
*********Modalidade da Despesa: Aplicacoes Diretas;150.000,00;108.497,00;104.963,00;104.963,00
**********Fonte: Recursos Proprios;150.000,00;108.497,00;104.963,00;104.963,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;990.000,00;717.117,30;417.117,30;417.117,30
********Categoria da Despesa: Despesas Correntes;990.000,00;717.117,30;417.117,30;417.117,30
*********Modalidade da Despesa: Aplicacoes Diretas;990.000,00;717.117,30;417.117,30;417.117,30
**********Fonte: Recursos Proprios;990.000,00;717.117,30;417.117,30;417.117,30
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;122.209.000,00;127.830.151,68;121.486.734,81;103.655.947,99
********Categoria da Despesa: Despesas Correntes;122.209.000,00;127.830.151,68;121.486.734,81;103.655.947,99
*********Modalidade da Despesa: Aplicacoes Diretas;122.209.000,00;127.830.151,68;121.486.734,81;103.655.947,99
**********Fonte: Recursos Proprios;119.371.000,00;124.992.151,68;119.159.431,11;102.326.257,76
**********Fonte: Transferencias Federais;2.838.000,00;2.838.000,00;2.327.303,70;1.329.690,23
*******Elemento Economico: Passagens e Despesas com Locomocao;19.060,00;18.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;19.060,00;18.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;19.060,00;18.000,00;0,00;0,00
**********Fonte: Recursos Proprios;1.060,00;0,00;0,00;0,00
**********Fonte: Transferencias Federais;18.000,00;18.000,00;0,00;0,00
******Projeto/Atividade: Projeto Sentinela;160.000,00;160.000,00;17.271,25;8.894,85
*******Elemento Economico: Diarias - Civil;8.000,00;8.000,00;3.899,40;3.899,40
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;3.899,40;3.899,40
*********Modalidade da Despesa: Aplicacoes Diretas;8.000,00;8.000,00;3.899,40;3.899,40
**********Fonte: Transferencias Federais;8.000,00;8.000,00;3.899,40;3.899,40
*******Elemento Economico: Equipamentos e Material Permanente;84.000,00;84.000,00;5.444,40;0,00
********Categoria da Despesa: Despesas de Capital;84.000,00;84.000,00;5.444,40;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;84.000,00;84.000,00;5.444,40;0,00
**********Fonte: Transferencias Federais;84.000,00;84.000,00;5.444,40;0,00
*******Elemento Economico: Material de Consumo;20.000,00;20.000,00;2.932,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;2.932,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;20.000,00;20.000,00;2.932,00;0,00
**********Fonte: Transferencias Federais;20.000,00;20.000,00;2.932,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;40.000,00;40.000,00;3.792,21;3.792,21
********Categoria da Despesa: Despesas Correntes;40.000,00;40.000,00;3.792,21;3.792,21
*********Modalidade da Despesa: Aplicacoes Diretas;40.000,00;40.000,00;3.792,21;3.792,21
**********Fonte: Transferencias Federais;40.000,00;40.000,00;3.792,21;3.792,21
*******Elemento Economico: Passagens e Despesas com Locomocao;8.000,00;8.000,00;1.203,24;1.203,24
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;1.203,24;1.203,24
*********Modalidade da Despesa: Aplicacoes Diretas;8.000,00;8.000,00;1.203,24;1.203,24
**********Fonte: Transferencias Federais;8.000,00;8.000,00;1.203,24;1.203,24
*Orgao: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;8.732,00;8.732,00;0,00;0,00
**Unidade: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;8.732,00;8.732,00;0,00;0,00
***Funcao: Urbanismo;8.732,00;8.732,00;0,00;0,00
****Sub-Funcao: Servicos Urbanos;8.732,00;8.732,00;0,00;0,00
*****Programa: Limpeza Publica;8.732,00;8.732,00;0,00;0,00
******Projeto/Atividade: Implementacao da Autoridade Municipal de Limpeza Urbana/FMLU;8.732,00;8.732,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;8.732,00;8.732,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;8.732,00;8.732,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;8.732,00;8.732,00;0,00;0,00
**********Fonte: Tesouro Municipal;8.732,00;8.732,00;0,00;0,00
*Orgao: Camara Municipal;310.302.000,00;309.752.000,00;264.217.000,00;264.217.000,00
**Unidade: Camara Municipal;296.302.000,00;295.752.000,00;257.327.000,00;257.327.000,00
***Funcao: Legislativa;296.302.000,00;295.752.000,00;257.327.000,00;257.327.000,00
****Sub-Funcao: Acao Legislativa;270.532.000,00;255.932.000,00;232.797.000,00;232.797.000,00
*****Programa: Processo Legislativo e de Fiscalizacao;265.636.000,00;254.936.000,00;232.730.000,00;232.730.000,00
******Projeto/Atividade: Administracao da Camara Municipal de Sao Paulo;265.636.000,00;254.936.000,00;232.730.000,00;232.730.000,00
*******Elemento Economico: Auxilio-Transporte;600.000,00;600.000,00;500.000,00;500.000,00
********Categoria da Despesa: Despesas Correntes;600.000,00;600.000,00;500.000,00;500.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;600.000,00;600.000,00;500.000,00;500.000,00
**********Fonte: Tesouro Municipal;600.000,00;600.000,00;500.000,00;500.000,00
*******Elemento Economico: Despesas de Exercicios Anteriores;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
********Categoria da Despesa: Despesas Correntes;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
**********Fonte: Tesouro Municipal;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
*******Elemento Economico: Despesas de Exercicios Anteriores;100.000,00;250.000,00;215.000,00;215.000,00
********Categoria da Despesa: Despesas Correntes;100.000,00;250.000,00;215.000,00;215.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;250.000,00;215.000,00;215.000,00
**********Fonte: Tesouro Municipal;100.000,00;250.000,00;215.000,00;215.000,00
*******Elemento Economico: Diarias - Civil;50.000,00;50.000,00;20.000,00;20.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;20.000,00;20.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;20.000,00;20.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;20.000,00;20.000,00
*******Elemento Economico: Equipamentos e Material Permanente;2.000.000,00;1.500.000,00;800.000,00;800.000,00
********Categoria da Despesa: Despesas de Capital;2.000.000,00;1.500.000,00;800.000,00;800.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.000.000,00;1.500.000,00;800.000,00;800.000,00
**********Fonte: Receita Condicionada;150.000,00;150.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.850.000,00;1.350.000,00;800.000,00;800.000,00
*******Elemento Economico: Indenizacoes e Restituicoes;12.000.000,00;7.850.000,00;5.100.000,00;5.100.000,00
********Categoria da Despesa: Despesas Correntes;12.000.000,00;7.850.000,00;5.100.000,00;5.100.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;12.000.000,00;7.850.000,00;5.100.000,00;5.100.000,00
**********Fonte: Receita Condicionada;1.730.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.270.000,00;7.850.000,00;5.100.000,00;5.100.000,00
*******Elemento Economico: Indenizacoes Trabalhistas;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
********Categoria da Despesa: Despesas Correntes;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
**********Fonte: Tesouro Municipal;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
*******Elemento Economico: Locacao de Mao-de-Obra;6.000.000,00;6.000.000,00;4.500.000,00;4.500.000,00
********Categoria da Despesa: Despesas Correntes;6.000.000,00;6.000.000,00;4.500.000,00;4.500.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;6.000.000,00;6.000.000,00;4.500.000,00;4.500.000,00
**********Fonte: Receita Condicionada;865.000,00;865.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.135.000,00;5.135.000,00;4.500.000,00;4.500.000,00
*******Elemento Economico: Material de Consumo;2.000.000,00;2.000.000,00;1.400.000,00;1.400.000,00
********Categoria da Despesa: Despesas Correntes;2.000.000,00;2.000.000,00;1.400.000,00;1.400.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.000.000,00;2.000.000,00;1.400.000,00;1.400.000,00
**********Fonte: Receita Condicionada;200.000,00;200.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.800.000,00;1.800.000,00;1.400.000,00;1.400.000,00
*******Elemento Economico: Material de Distribuicao Gratuita;20.000,00;20.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;20.000,00;20.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;20.000,00;20.000,00;0,00;0,00
*******Elemento Economico: Obrigacoes Patronais;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
********Categoria da Despesa: Despesas Correntes;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
**********Fonte: Tesouro Municipal;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
*******Elemento Economico: Obrigacoes Patronais - RPPS;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
********Categoria da Despesa: Despesas Correntes;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
**********Fonte: Tesouro Municipal;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
*******Elemento Economico: Outros Beneficios Assistenciais;400.000,00;400.000,00;250.000,00;250.000,00
********Categoria da Despesa: Despesas Correntes;400.000,00;400.000,00;250.000,00;250.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;400.000,00;400.000,00;250.000,00;250.000,00
**********Fonte: Tesouro Municipal;400.000,00;400.000,00;250.000,00;250.000,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;28.756.000,00;22.456.000,00;12.700.000,00;12.700.000,00
********Categoria da Despesa: Despesas Correntes;28.756.000,00;22.456.000,00;12.700.000,00;12.700.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;28.756.000,00;22.456.000,00;12.700.000,00;12.700.000,00
**********Fonte: Receita Condicionada;4.146.000,00;4.146.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;24.610.000,00;18.310.000,00;12.700.000,00;12.700.000,00
*******Elemento Economico: Passagens e Despesas com Locomocao;50.000,00;50.000,00;30.000,00;30.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;30.000,00;30.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;30.000,00;30.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;30.000,00;30.000,00
*******Elemento Economico: Premiacoes Culturais, Artisticas, Cientificas, Desport. e Outras;100.000,00;100.000,00;60.000,00;60.000,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;60.000,00;60.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;100.000,00;60.000,00;60.000,00
**********Fonte: Tesouro Municipal;100.000,00;100.000,00;60.000,00;60.000,00
*******Elemento Economico: Salario Familia;10.000,00;10.000,00;5.000,00;5.000,00
********Categoria da Despesa: Despesas Correntes;10.000,00;10.000,00;5.000,00;5.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.000,00;10.000,00;5.000,00;5.000,00
**********Fonte: Tesouro Municipal;10.000,00;10.000,00;5.000,00;5.000,00
*******Elemento Economico: Servicos de Consultoria;2.000.000,00;2.650.000,00;2.650.000,00;2.650.000,00
********Categoria da Despesa: Despesas Correntes;2.000.000,00;2.650.000,00;2.650.000,00;2.650.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;2.000.000,00;2.650.000,00;2.650.000,00;2.650.000,00
**********Fonte: Receita Condicionada;200.000,00;200.000,00;200.000,00;200.000,00
**********Fonte: Tesouro Municipal;1.800.000,00;2.450.000,00;2.450.000,00;2.450.000,00
*******Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
********Categoria da Despesa: Despesas Correntes;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
**********Fonte: Tesouro Municipal;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
*****Programa: Suporte Administrativo;4.896.000,00;996.000,00;67.000,00;67.000,00
******Projeto/Atividade: Construcao, Ampliacao e Reforma de Edificacoes da Camara Municipal;4.896.000,00;996.000,00;67.000,00;67.000,00
*******Elemento Economico: Obras e Instalacoes;3.096.000,00;196.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;3.096.000,00;196.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;3.096.000,00;196.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;3.096.000,00;196.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;1.800.000,00;800.000,00;67.000,00;67.000,00
********Categoria da Despesa: Despesas de Capital;1.800.000,00;800.000,00;67.000,00;67.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.800.000,00;800.000,00;67.000,00;67.000,00
**********Fonte: Tesouro Municipal;1.800.000,00;800.000,00;67.000,00;67.000,00
****Sub-Funcao: Administracao Geral;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
*****Programa: Divulgacao Oficial;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
******Projeto/Atividade: Camara Municipal - Comunicacao;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
********Categoria da Despesa: Despesas Correntes;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
**********Fonte: Tesouro Municipal;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
****Sub-Funcao: Comunicacao Social;300.000,00;300.000,00;130.000,00;130.000,00
*****Programa: Divulgacao Oficial;300.000,00;300.000,00;130.000,00;130.000,00
******Projeto/Atividade: Publicacao de Editais e Outras Publicacoes Legais;300.000,00;300.000,00;130.000,00;130.000,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;300.000,00;300.000,00;130.000,00;130.000,00
********Categoria da Despesa: Despesas Correntes;300.000,00;300.000,00;130.000,00;130.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;300.000,00;300.000,00;130.000,00;130.000,00
**********Fonte: Tesouro Municipal;300.000,00;300.000,00;130.000,00;130.000,00
****Sub-Funcao: Tecnologia da Informacao;11.500.000,00;22.050.000,00;12.400.000,00;12.400.000,00
*****Programa: Sistema de Informacao e Processamento de Dados;11.500.000,00;22.050.000,00;12.400.000,00;12.400.000,00
******Projeto/Atividade: Aquisicao de Materiais, Equipamentos e Servicos de Informatica e Comunicacao;11.500.000,00;22.050.000,00;12.400.000,00;12.400.000,00
*******Elemento Economico: Equipamentos e Material Permanente;4.000.000,00;7.750.000,00;2.000.000,00;2.000.000,00
********Categoria da Despesa: Despesas de Capital;4.000.000,00;7.750.000,00;2.000.000,00;2.000.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;4.000.000,00;7.750.000,00;2.000.000,00;2.000.000,00
**********Fonte: Receita Condicionada;578.000,00;578.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;3.422.000,00;7.172.000,00;2.000.000,00;2.000.000,00
*******Elemento Economico: Material de Consumo;1.000.000,00;8.758.000,00;7.100.000,00;7.100.000,00
********Categoria da Despesa: Despesas Correntes;1.000.000,00;8.758.000,00;7.100.000,00;7.100.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;1.000.000,00;8.758.000,00;7.100.000,00;7.100.000,00
**********Fonte: Receita Condicionada;200.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;800.000,00;8.758.000,00;7.100.000,00;7.100.000,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;6.500.000,00;5.542.000,00;3.300.000,00;3.300.000,00
********Categoria da Despesa: Despesas Correntes;6.500.000,00;5.542.000,00;3.300.000,00;3.300.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;6.500.000,00;5.542.000,00;3.300.000,00;3.300.000,00
**********Fonte: Receita Condicionada;958.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.542.000,00;5.542.000,00;3.300.000,00;3.300.000,00
**Unidade: Fundo Especial de Despesas da Camara Municipal de Sao Paulo;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
***Funcao: Legislativa;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
****Sub-Funcao: Acao Legislativa;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
*****Programa: Processo Legislativo e de Fiscalizacao;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
