Seleção;Orçado;Atualizado;Empenhado;Liquidado
**********Fonte: Recursos Próprios da Adm. Indireta;38.000,00;38.000,00;10.800,00;0,00
**********Fonte: Transferências Federais;27.000,00;27.000,00;24.386,24;0,00
*******Elemento Econômico: Locação de Mão-de-Obra;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
********Categoria da Despesa: Despesas Correntes;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
*********Modalidade da Despesa: Aplicações Diretas;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
**********Fonte: Recursos Próprios;17.600.000,00;16.253.750,20;6.910.261,63;6.476.262,56
*******Elemento Econômico: Material de Consumo;89.772.000,00;88.564.756,97;79.774.915,03;42.619.186,11
********Categoria da Despesa: Despesas Correntes;89.772.000,00;88.564.756,97;79.774.915,03;42.619.186,11
*********Modalidade da Despesa: Aplicações Diretas;89.772.000,00;88.564.756,97;79.774.915,03;42.619.186,11
**********Fonte: Recursos Próprios;11.000.000,00;9.792.756,97;8.634.135,91;6.410.198,87
**********Fonte: Transferências Federais;78.772.000,00;78.772.000,00;71.140.779,12;36.208.987,24
*******Elemento Econômico: Outros Auxílios Financeiros a Pessoas Físicas;150.000,00;108.497,00;104.963,00;104.963,00
********Categoria da Despesa: Despesas Correntes;150.000,00;108.497,00;104.963,00;104.963,00
*********Modalidade da Despesa: Aplicações Diretas;150.000,00;108.497,00;104.963,00;104.963,00
**********Fonte: Recursos Próprios;150.000,00;108.497,00;104.963,00;104.963,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;990.000,00;717.117,30;417.117,30;417.117,30
********Categoria da Despesa: Despesas Correntes;990.000,00;717.117,30;417.117,30;417.117,30
*********Modalidade da Despesa: Aplicações Diretas;990.000,00;717.117,30;417.117,30;417.117,30
**********Fonte: Recursos Próprios;990.000,00;717.117,30;417.117,30;417.117,30
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;122.209.000,00;127.830.151,68;121.486.734,81;103.655.947,99
********Categoria da Despesa: Despesas Correntes;122.209.000,00;127.830.151,68;121.486.734,81;103.655.947,99
*********Modalidade da Despesa: Aplicações Diretas;122.209.000,00;127.830.151,68;121.486.734,81;103.655.947,99
**********Fonte: Recursos Próprios;119.371.000,00;124.992.151,68;119.159.431,11;102.326.257,76
**********Fonte: Transferências Federais;2.838.000,00;2.838.000,00;2.327.303,70;1.329.690,23
*******Elemento Econômico: Passagens e Despesas com Locomoção;19.060,00;18.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;19.060,00;18.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;19.060,00;18.000,00;0,00;0,00
**********Fonte: Recursos Próprios;1.060,00;0,00;0,00;0,00
**********Fonte: Transferências Federais;18.000,00;18.000,00;0,00;0,00
******Projeto/Atividade: Projeto Sentinela;160.000,00;160.000,00;17.271,25;8.894,85
*******Elemento Econômico: Diárias - Civil;8.000,00;8.000,00;3.899,40;3.899,40
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;3.899,40;3.899,40
*********Modalidade da Despesa: Aplicações Diretas;8.000,00;8.000,00;3.899,40;3.899,40
**********Fonte: Transferências Federais;8.000,00;8.000,00;3.899,40;3.899,40
*******Elemento Econômico: Equipamentos e Material Permanente;84.000,00;84.000,00;5.444,40;0,00
********Categoria da Despesa: Despesas de Capital;84.000,00;84.000,00;5.444,40;0,00
*********Modalidade da Despesa: Aplicações Diretas;84.000,00;84.000,00;5.444,40;0,00
**********Fonte: Transferências Federais;84.000,00;84.000,00;5.444,40;0,00
*******Elemento Econômico: Material de Consumo;20.000,00;20.000,00;2.932,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;2.932,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;20.000,00;20.000,00;2.932,00;0,00
**********Fonte: Transferências Federais;20.000,00;20.000,00;2.932,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;40.000,00;40.000,00;3.792,21;3.792,21
********Categoria da Despesa: Despesas Correntes;40.000,00;40.000,00;3.792,21;3.792,21
*********Modalidade da Despesa: Aplicações Diretas;40.000,00;40.000,00;3.792,21;3.792,21
**********Fonte: Transferências Federais;40.000,00;40.000,00;3.792,21;3.792,21
*******Elemento Econômico: Passagens e Despesas com Locomoção;8.000,00;8.000,00;1.203,24;1.203,24
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;1.203,24;1.203,24
*********Modalidade da Despesa: Aplicações Diretas;8.000,00;8.000,00;1.203,24;1.203,24
**********Fonte: Transferências Federais;8.000,00;8.000,00;1.203,24;1.203,24
*Orgão: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;8.732,00;8.732,00;0,00;0,00
**Unidade: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;8.732,00;8.732,00;0,00;0,00
***Função: Urbanismo;8.732,00;8.732,00;0,00;0,00
****Sub-Função: Serviços Urbanos;8.732,00;8.732,00;0,00;0,00
*****Programa: Limpeza Pública;8.732,00;8.732,00;0,00;0,00
******Projeto/Atividade: Implementação da Autoridade Municipal de Limpeza Urbana/FMLU;8.732,00;8.732,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;8.732,00;8.732,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;8.732,00;8.732,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;8.732,00;8.732,00;0,00;0,00
**********Fonte: Tesouro Municipal;8.732,00;8.732,00;0,00;0,00
*Orgão: Camara Municipal;310.302.000,00;309.752.000,00;264.217.000,00;264.217.000,00
**Unidade: Câmara Municipal;296.302.000,00;295.752.000,00;257.327.000,00;257.327.000,00
***Função: Legislativa;296.302.000,00;295.752.000,00;257.327.000,00;257.327.000,00
****Sub-Função: Ação Legislativa;270.532.000,00;255.932.000,00;232.797.000,00;232.797.000,00
*****Programa: Processo Legislativo e de Fiscalização;265.636.000,00;254.936.000,00;232.730.000,00;232.730.000,00
******Projeto/Atividade: Administração da Câmara Municipal de São Paulo;265.636.000,00;254.936.000,00;232.730.000,00;232.730.000,00
*******Elemento Econômico: Auxílio-Transporte;600.000,00;600.000,00;500.000,00;500.000,00
********Categoria da Despesa: Despesas Correntes;600.000,00;600.000,00;500.000,00;500.000,00
*********Modalidade da Despesa: Aplicações Diretas;600.000,00;600.000,00;500.000,00;500.000,00
**********Fonte: Tesouro Municipal;600.000,00;600.000,00;500.000,00;500.000,00
*******Elemento Econômico: Despesas de Exercícios Anteriores;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
********Categoria da Despesa: Despesas Correntes;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
*********Modalidade da Despesa: Aplicações Diretas;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
**********Fonte: Tesouro Municipal;7.500.000,00;6.400.000,00;1.000.000,00;1.000.000,00
*******Elemento Econômico: Despesas de Exercícios Anteriores;100.000,00;250.000,00;215.000,00;215.000,00
********Categoria da Despesa: Despesas Correntes;100.000,00;250.000,00;215.000,00;215.000,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;250.000,00;215.000,00;215.000,00
**********Fonte: Tesouro Municipal;100.000,00;250.000,00;215.000,00;215.000,00
*******Elemento Econômico: Diárias - Civil;50.000,00;50.000,00;20.000,00;20.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;20.000,00;20.000,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;20.000,00;20.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;20.000,00;20.000,00
*******Elemento Econômico: Equipamentos e Material Permanente;2.000.000,00;1.500.000,00;800.000,00;800.000,00
********Categoria da Despesa: Despesas de Capital;2.000.000,00;1.500.000,00;800.000,00;800.000,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;1.500.000,00;800.000,00;800.000,00
**********Fonte: Receita Condicionada;150.000,00;150.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.850.000,00;1.350.000,00;800.000,00;800.000,00
*******Elemento Econômico: Indenizações e Restituições;12.000.000,00;7.850.000,00;5.100.000,00;5.100.000,00
********Categoria da Despesa: Despesas Correntes;12.000.000,00;7.850.000,00;5.100.000,00;5.100.000,00
*********Modalidade da Despesa: Aplicações Diretas;12.000.000,00;7.850.000,00;5.100.000,00;5.100.000,00
**********Fonte: Receita Condicionada;1.730.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.270.000,00;7.850.000,00;5.100.000,00;5.100.000,00
*******Elemento Econômico: Indenizações Trabalhistas;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
********Categoria da Despesa: Despesas Correntes;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
*********Modalidade da Despesa: Aplicações Diretas;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
**********Fonte: Tesouro Municipal;1.500.000,00;2.050.000,00;1.500.000,00;1.500.000,00
*******Elemento Econômico: Locação de Mão-de-Obra;6.000.000,00;6.000.000,00;4.500.000,00;4.500.000,00
********Categoria da Despesa: Despesas Correntes;6.000.000,00;6.000.000,00;4.500.000,00;4.500.000,00
*********Modalidade da Despesa: Aplicações Diretas;6.000.000,00;6.000.000,00;4.500.000,00;4.500.000,00
**********Fonte: Receita Condicionada;865.000,00;865.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.135.000,00;5.135.000,00;4.500.000,00;4.500.000,00
*******Elemento Econômico: Material de Consumo;2.000.000,00;2.000.000,00;1.400.000,00;1.400.000,00
********Categoria da Despesa: Despesas Correntes;2.000.000,00;2.000.000,00;1.400.000,00;1.400.000,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;2.000.000,00;1.400.000,00;1.400.000,00
**********Fonte: Receita Condicionada;200.000,00;200.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.800.000,00;1.800.000,00;1.400.000,00;1.400.000,00
*******Elemento Econômico: Material de Distribuição Gratuita;20.000,00;20.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;20.000,00;20.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;20.000,00;20.000,00;0,00;0,00
*******Elemento Econômico: Obrigações Patronais;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
********Categoria da Despesa: Despesas Correntes;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
*********Modalidade da Despesa: Aplicações Diretas;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
**********Fonte: Tesouro Municipal;21.500.000,00;21.500.000,00;21.500.000,00;21.500.000,00
*******Elemento Econômico: Obrigações Patronais - RPPS;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
********Categoria da Despesa: Despesas Correntes;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
**********Fonte: Tesouro Municipal;13.000.000,00;13.000.000,00;12.500.000,00;12.500.000,00
*******Elemento Econômico: Outros Benefícios Assistenciais;400.000,00;400.000,00;250.000,00;250.000,00
********Categoria da Despesa: Despesas Correntes;400.000,00;400.000,00;250.000,00;250.000,00
*********Modalidade da Despesa: Aplicações Diretas;400.000,00;400.000,00;250.000,00;250.000,00
**********Fonte: Tesouro Municipal;400.000,00;400.000,00;250.000,00;250.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;28.756.000,00;22.456.000,00;12.700.000,00;12.700.000,00
********Categoria da Despesa: Despesas Correntes;28.756.000,00;22.456.000,00;12.700.000,00;12.700.000,00
*********Modalidade da Despesa: Aplicações Diretas;28.756.000,00;22.456.000,00;12.700.000,00;12.700.000,00
**********Fonte: Receita Condicionada;4.146.000,00;4.146.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;24.610.000,00;18.310.000,00;12.700.000,00;12.700.000,00
*******Elemento Econômico: Passagens e Despesas com Locomoção;50.000,00;50.000,00;30.000,00;30.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;30.000,00;30.000,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;30.000,00;30.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;30.000,00;30.000,00
*******Elemento Econômico: Premiações Culturais, Artísticas, Científicas, Desport. e Outras;100.000,00;100.000,00;60.000,00;60.000,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;60.000,00;60.000,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;100.000,00;60.000,00;60.000,00
**********Fonte: Tesouro Municipal;100.000,00;100.000,00;60.000,00;60.000,00
*******Elemento Econômico: Salário Família;10.000,00;10.000,00;5.000,00;5.000,00
********Categoria da Despesa: Despesas Correntes;10.000,00;10.000,00;5.000,00;5.000,00
*********Modalidade da Despesa: Aplicações Diretas;10.000,00;10.000,00;5.000,00;5.000,00
**********Fonte: Tesouro Municipal;10.000,00;10.000,00;5.000,00;5.000,00
*******Elemento Econômico: Serviços de Consultoria;2.000.000,00;2.650.000,00;2.650.000,00;2.650.000,00
********Categoria da Despesa: Despesas Correntes;2.000.000,00;2.650.000,00;2.650.000,00;2.650.000,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;2.650.000,00;2.650.000,00;2.650.000,00
**********Fonte: Receita Condicionada;200.000,00;200.000,00;200.000,00;200.000,00
**********Fonte: Tesouro Municipal;1.800.000,00;2.450.000,00;2.450.000,00;2.450.000,00
*******Elemento Econômico: Vencimentos e Vantagens Fixas - Pessoal Civil;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
********Categoria da Despesa: Despesas Correntes;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
*********Modalidade da Despesa: Aplicações Diretas;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
**********Fonte: Tesouro Municipal;168.000.000,00;168.000.000,00;168.000.000,00;168.000.000,00
*****Programa: Suporte Administrativo;4.896.000,00;996.000,00;67.000,00;67.000,00
******Projeto/Atividade: Construção, Ampliação e Reforma de Edificações da Câmara Municipal;4.896.000,00;996.000,00;67.000,00;67.000,00
*******Elemento Econômico: Obras e Instalações;3.096.000,00;196.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;3.096.000,00;196.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;3.096.000,00;196.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;3.096.000,00;196.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;1.800.000,00;800.000,00;67.000,00;67.000,00
********Categoria da Despesa: Despesas de Capital;1.800.000,00;800.000,00;67.000,00;67.000,00
*********Modalidade da Despesa: Aplicações Diretas;1.800.000,00;800.000,00;67.000,00;67.000,00
**********Fonte: Tesouro Municipal;1.800.000,00;800.000,00;67.000,00;67.000,00
****Sub-Função: Administração Geral;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
*****Programa: Divulgação Oficial;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
******Projeto/Atividade: Câmara Municipal - Comunicação;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
********Categoria da Despesa: Despesas Correntes;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
*********Modalidade da Despesa: Aplicações Diretas;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
**********Fonte: Tesouro Municipal;13.970.000,00;17.470.000,00;12.000.000,00;12.000.000,00
****Sub-Função: Comunicação Social;300.000,00;300.000,00;130.000,00;130.000,00
*****Programa: Divulgação Oficial;300.000,00;300.000,00;130.000,00;130.000,00
******Projeto/Atividade: Publicação de Editais e Outras Publicações Legais;300.000,00;300.000,00;130.000,00;130.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;300.000,00;300.000,00;130.000,00;130.000,00
********Categoria da Despesa: Despesas Correntes;300.000,00;300.000,00;130.000,00;130.000,00
*********Modalidade da Despesa: Aplicações Diretas;300.000,00;300.000,00;130.000,00;130.000,00
**********Fonte: Tesouro Municipal;300.000,00;300.000,00;130.000,00;130.000,00
****Sub-Função: Tecnologia da Informação;11.500.000,00;22.050.000,00;12.400.000,00;12.400.000,00
*****Programa: Sistema de Informação e Processamento de Dados;11.500.000,00;22.050.000,00;12.400.000,00;12.400.000,00
******Projeto/Atividade: Aquisição de Materiais, Equipamentos e Serviços de Informática e Comunicação;11.500.000,00;22.050.000,00;12.400.000,00;12.400.000,00
*******Elemento Econômico: Equipamentos e Material Permanente;4.000.000,00;7.750.000,00;2.000.000,00;2.000.000,00
********Categoria da Despesa: Despesas de Capital;4.000.000,00;7.750.000,00;2.000.000,00;2.000.000,00
*********Modalidade da Despesa: Aplicações Diretas;4.000.000,00;7.750.000,00;2.000.000,00;2.000.000,00
**********Fonte: Receita Condicionada;578.000,00;578.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;3.422.000,00;7.172.000,00;2.000.000,00;2.000.000,00
*******Elemento Econômico: Material de Consumo;1.000.000,00;8.758.000,00;7.100.000,00;7.100.000,00
********Categoria da Despesa: Despesas Correntes;1.000.000,00;8.758.000,00;7.100.000,00;7.100.000,00
*********Modalidade da Despesa: Aplicações Diretas;1.000.000,00;8.758.000,00;7.100.000,00;7.100.000,00
**********Fonte: Receita Condicionada;200.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;800.000,00;8.758.000,00;7.100.000,00;7.100.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;6.500.000,00;5.542.000,00;3.300.000,00;3.300.000,00
********Categoria da Despesa: Despesas Correntes;6.500.000,00;5.542.000,00;3.300.000,00;3.300.000,00
*********Modalidade da Despesa: Aplicações Diretas;6.500.000,00;5.542.000,00;3.300.000,00;3.300.000,00
**********Fonte: Receita Condicionada;958.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.542.000,00;5.542.000,00;3.300.000,00;3.300.000,00
**Unidade: Fundo Especial de Despesas da Câmara Municipal de São Paulo;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
***Função: Legislativa;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
****Sub-Função: Ação Legislativa;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
*****Programa: Processo Legislativo e de Fiscalização;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
******Projeto/Atividade: Fundo Especial de Despesas da Câmara Municipal de São Paulo - FECAM;14.000.000,00;14.000.000,00;6.890.000,00;6.890.000,00
*******Elemento Econômico: Equipamentos e Material Permanente;250.000,00;950.000,00;10.000,00;10.000,00
