Seleção;Orçado;Atualizado;Empenhado;Liquidado
*Orgão: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;10.000,00;10.000,00;0,00;0,00
**Unidade: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;10.000,00;10.000,00;0,00;0,00
***Função: Urbanismo;10.000,00;10.000,00;0,00;0,00
****Sub-Função: Serviços Urbanos;10.000,00;10.000,00;0,00;0,00
*****Programa: Gestão adequada dos resíduos sólidos;10.000,00;10.000,00;0,00;0,00
******Projeto/Atividade: Implementação da Autoridade Municipal de Limpeza Urbana/FMLU;10.000,00;10.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;10.000,00;10.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;10.000,00;10.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;10.000,00;10.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.000,00;10.000,00;0,00;0,00
*Orgão: Camara Municipal;399.626.197,00;324.644.165,89;287.668.000,00;287.637.270,00
**Unidade: Câmara Municipal;390.504.197,00;309.022.165,89;277.798.000,00;277.767.270,00
***Função: Legislativa;390.504.197,00;309.022.165,89;277.798.000,00;277.767.270,00
****Sub-Função: Ação Legislativa;336.392.496,00;278.174.288,61;247.428.000,00;247.399.600,00
*****Programa: Processo Legislativo;306.391.496,00;277.730.467,91;247.428.000,00;247.399.600,00
******Projeto/Atividade: Administração da Câmara Municipal de São Paulo;306.391.496,00;277.730.467,91;247.428.000,00;247.399.600,00
*******Elemento Econômico: Auxílio-Transporte;600.000,00;600.000,00;600.000,00;600.000,00
********Categoria da Despesa: Despesas Correntes;600.000,00;600.000,00;600.000,00;600.000,00
*********Modalidade da Despesa: Aplicações Diretas;600.000,00;600.000,00;600.000,00;600.000,00
**********Fonte: Tesouro Municipal;600.000,00;600.000,00;600.000,00;600.000,00
*******Elemento Econômico: Despesas de Exercícios Anteriores;100.000,00;100.000,00;100.000,00;100.000,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;100.000,00;100.000,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;100.000,00;100.000,00;100.000,00
**********Fonte: Tesouro Municipal;100.000,00;100.000,00;100.000,00;100.000,00
*******Elemento Econômico: Despesas de Exercícios Anteriores;17.487.622,00;16.837.622,00;1.070.000,00;1.070.000,00
********Categoria da Despesa: Despesas Correntes;17.487.622,00;16.837.622,00;1.070.000,00;1.070.000,00
*********Modalidade da Despesa: Aplicações Diretas;17.487.622,00;16.837.622,00;1.070.000,00;1.070.000,00
**********Fonte: Tesouro Municipal;17.487.622,00;16.837.622,00;1.070.000,00;1.070.000,00
*******Elemento Econômico: Diárias - Civil;50.000,00;50.000,00;40.000,00;40.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;40.000,00;40.000,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;40.000,00;40.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;40.000,00;40.000,00
*******Elemento Econômico: Equipamentos e Material Permanente;1.750.000,00;302.298,69;300.000,00;300.000,00
********Categoria da Despesa: Despesas de Capital;1.750.000,00;302.298,69;300.000,00;300.000,00
*********Modalidade da Despesa: Aplicações Diretas;1.750.000,00;302.298,69;300.000,00;300.000,00
**********Fonte: Tesouro Municipal;1.750.000,00;302.298,69;300.000,00;300.000,00
*******Elemento Econômico: Indenizações e Restituições;11.200.000,00;4.500.000,00;4.500.000,00;4.500.000,00
********Categoria da Despesa: Despesas Correntes;11.200.000,00;4.500.000,00;4.500.000,00;4.500.000,00
*********Modalidade da Despesa: Aplicações Diretas;11.200.000,00;4.500.000,00;4.500.000,00;4.500.000,00
**********Fonte: Tesouro Municipal;11.200.000,00;4.500.000,00;4.500.000,00;4.500.000,00
*******Elemento Econômico: Indenizações Trabalhistas;2.000.000,00;2.000.000,00;1.000.000,00;1.000.000,00
********Categoria da Despesa: Despesas Correntes;2.000.000,00;2.000.000,00;1.000.000,00;1.000.000,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;2.000.000,00;1.000.000,00;1.000.000,00
**********Fonte: Tesouro Municipal;2.000.000,00;2.000.000,00;1.000.000,00;1.000.000,00
*******Elemento Econômico: Locação de Mão-de-Obra;6.000.000,00;4.300.000,00;4.300.000,00;4.300.000,00
********Categoria da Despesa: Despesas Correntes;6.000.000,00;4.300.000,00;4.300.000,00;4.300.000,00
*********Modalidade da Despesa: Aplicações Diretas;6.000.000,00;4.300.000,00;4.300.000,00;4.300.000,00
**********Fonte: Tesouro Municipal;6.000.000,00;4.300.000,00;4.300.000,00;4.300.000,00
*******Elemento Econômico: Material de Consumo;2.250.000,00;2.250.000,00;2.250.000,00;2.221.600,00
********Categoria da Despesa: Despesas Correntes;2.250.000,00;2.250.000,00;2.250.000,00;2.221.600,00
*********Modalidade da Despesa: Aplicações Diretas;2.250.000,00;2.250.000,00;2.250.000,00;2.221.600,00
**********Fonte: Tesouro Municipal;2.250.000,00;2.250.000,00;2.250.000,00;2.221.600,00
*******Elemento Econômico: Material de Distribuição Gratuita;20.000,00;20.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;20.000,00;20.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;20.000,00;20.000,00;0,00;0,00
*******Elemento Econômico: Obrigações Patronais;25.019.440,00;25.019.440,00;23.200.000,00;23.200.000,00
********Categoria da Despesa: Despesas Correntes;25.019.440,00;25.019.440,00;23.200.000,00;23.200.000,00
*********Modalidade da Despesa: Aplicações Diretas;25.019.440,00;25.019.440,00;23.200.000,00;23.200.000,00
**********Fonte: Tesouro Municipal;25.019.440,00;25.019.440,00;23.200.000,00;23.200.000,00
*******Elemento Econômico: Obrigações Patronais - RPPS;16.544.721,00;16.544.721,00;14.200.000,00;14.200.000,00
********Categoria da Despesa: Despesas Correntes;16.544.721,00;16.544.721,00;14.200.000,00;14.200.000,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social;16.544.721,00;16.544.721,00;14.200.000,00;14.200.000,00
**********Fonte: Tesouro Municipal;16.544.721,00;16.544.721,00;14.200.000,00;14.200.000,00
*******Elemento Econômico: Outros Benefícios Assistenciais;400.000,00;400.000,00;400.000,00;400.000,00
********Categoria da Despesa: Despesas Correntes;400.000,00;400.000,00;400.000,00;400.000,00
*********Modalidade da Despesa: Aplicações Diretas;400.000,00;400.000,00;400.000,00;400.000,00
**********Fonte: Tesouro Municipal;400.000,00;400.000,00;400.000,00;400.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;50.000,00;0,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;50.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;0,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;27.875.804,00;11.475.804,00;11.400.000,00;11.400.000,00
********Categoria da Despesa: Despesas Correntes;27.875.804,00;11.475.804,00;11.400.000,00;11.400.000,00
*********Modalidade da Despesa: Aplicações Diretas;27.875.804,00;11.475.804,00;11.400.000,00;11.400.000,00
**********Fonte: Tesouro Municipal;27.875.804,00;11.475.804,00;11.400.000,00;11.400.000,00
*******Elemento Econômico: Passagens e Despesas com Locomoção;50.000,00;50.000,00;15.000,00;15.000,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;15.000,00;15.000,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;15.000,00;15.000,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;15.000,00;15.000,00
*******Elemento Econômico: Premiações Culturais, Artísticas, Científicas, Desport. e Outras;111.852,00;111.852,00;100.000,00;100.000,00
********Categoria da Despesa: Despesas Correntes;111.852,00;111.852,00;100.000,00;100.000,00
*********Modalidade da Despesa: Aplicações Diretas;111.852,00;111.852,00;100.000,00;100.000,00
**********Fonte: Tesouro Municipal;111.852,00;111.852,00;100.000,00;100.000,00
*******Elemento Econômico: Salário Família;5.000,00;5.000,00;2.000,00;2.000,00
********Categoria da Despesa: Despesas Correntes;5.000,00;5.000,00;2.000,00;2.000,00
*********Modalidade da Despesa: Aplicações Diretas;5.000,00;5.000,00;2.000,00;2.000,00
**********Fonte: Tesouro Municipal;5.000,00;5.000,00;2.000,00;2.000,00
*******Elemento Econômico: Serviços de Consultoria;2.000.000,00;286.673,22;0,00;0,00
********Categoria da Despesa: Despesas Correntes;2.000.000,00;286.673,22;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;286.673,22;0,00;0,00
**********Fonte: Tesouro Municipal;2.000.000,00;286.673,22;0,00;0,00
*******Elemento Econômico: Vencimentos e Vantagens Fixas - Pessoal Civil;192.877.057,00;192.877.057,00;183.951.000,00;183.951.000,00
********Categoria da Despesa: Despesas Correntes;192.877.057,00;192.877.057,00;183.951.000,00;183.951.000,00
*********Modalidade da Despesa: Aplicações Diretas;192.877.057,00;192.877.057,00;183.951.000,00;183.951.000,00
**********Fonte: Tesouro Municipal;192.877.057,00;192.877.057,00;183.951.000,00;183.951.000,00
*****Programa: Suporte administrativo;30.001.000,00;443.820,70;0,00;0,00
******Projeto/Atividade: Aluguel de Imóveis e Despesas Correlatas;1.000,00;1.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;1.000,00;1.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;1.000,00;1.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;1.000,00;1.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.000,00;1.000,00;0,00;0,00
******Projeto/Atividade: Construção de Edificações da Câmara Municipal de São Paulo;20.000.000,00;0,00;0,00;0,00
*******Elemento Econômico: Obras e Instalações;10.000.000,00;0,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;10.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;10.000.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.000.000,00;0,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;10.000.000,00;0,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;10.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;10.000.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.000.000,00;0,00;0,00;0,00
******Projeto/Atividade: Reforma e Ampliação de Edificações da Câmara Municipal de São Paulo;10.000.000,00;442.820,70;0,00;0,00
*******Elemento Econômico: Obras e Instalações;2.000.000,00;442.820,70;0,00;0,00
********Categoria da Despesa: Despesas de Capital;2.000.000,00;442.820,70;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;442.820,70;0,00;0,00
**********Fonte: Tesouro Municipal;2.000.000,00;442.820,70;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;8.000.000,00;0,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;8.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;8.000.000,00;0,00;0,00;0,00
**********Fonte: Tesouro Municipal;8.000.000,00;0,00;0,00;0,00
****Sub-Função: Administração Geral;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
*****Programa: Divulgação Oficial;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
******Projeto/Atividade: Câmara Municipal - Comunicação;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
********Categoria da Despesa: Despesas Correntes;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
*********Modalidade da Despesa: Aplicações Diretas;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
**********Fonte: Tesouro Municipal;36.875.675,00;21.711.851,28;21.370.000,00;21.370.000,00
****Sub-Função: Tecnologia da Informação;17.236.026,00;9.136.026,00;9.000.000,00;8.997.670,00
*****Programa: Sistema de informação e processamento de dados;17.236.026,00;9.136.026,00;9.000.000,00;8.997.670,00
******Projeto/Atividade: Aquisição de Materiais, Equipamentos e Serviços de Informática e Comunicação;17.236.026,00;9.136.026,00;9.000.000,00;8.997.670,00
*******Elemento Econômico: Equipamentos e Material Permanente;437.000,00;4.037.000,00;4.000.000,00;3.998.670,00
********Categoria da Despesa: Despesas de Capital;437.000,00;4.037.000,00;4.000.000,00;3.998.670,00
*********Modalidade da Despesa: Aplicações Diretas;437.000,00;4.037.000,00;4.000.000,00;3.998.670,00
**********Fonte: Tesouro Municipal;437.000,00;4.037.000,00;4.000.000,00;3.998.670,00
*******Elemento Econômico: Material de Consumo;4.375.000,00;2.075.000,00;2.000.000,00;1.999.000,00
********Categoria da Despesa: Despesas Correntes;4.375.000,00;2.075.000,00;2.000.000,00;1.999.000,00
*********Modalidade da Despesa: Aplicações Diretas;4.375.000,00;2.075.000,00;2.000.000,00;1.999.000,00
**********Fonte: Tesouro Municipal;4.375.000,00;2.075.000,00;2.000.000,00;1.999.000,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;12.424.026,00;3.024.026,00;3.000.000,00;3.000.000,00
********Categoria da Despesa: Despesas Correntes;12.424.026,00;3.024.026,00;3.000.000,00;3.000.000,00
*********Modalidade da Despesa: Aplicações Diretas;12.424.026,00;3.024.026,00;3.000.000,00;3.000.000,00
**********Fonte: Tesouro Municipal;12.424.026,00;3.024.026,00;3.000.000,00;3.000.000,00
**Unidade: Fundo Especial de Despesas da Câmara Municipal de São Paulo;9.122.000,00;15.622.000,00;9.870.000,00;9.870.000,00
***Função: Legislativa;9.122.000,00;15.622.000,00;9.870.000,00;9.870.000,00
****Sub-Função: Ação Legislativa;9.122.000,00;15.622.000,00;9.870.000,00;9.870.000,00
