Seleção;Orçado;Atualizado;Empenhado;Liquidado
**********Fonte: Tesouro Municipal;784.567,00;784.567,00;3.305,90;0,00
*******Elemento Econômico: Obrigações Patronais;88.379.320,00;88.379.320,00;28.700.000,00;12.781.279,93
********Categoria da Despesa: Despesas Correntes;88.379.320,00;88.379.320,00;28.700.000,00;12.781.279,93
*********Modalidade da Despesa: Aplicações Diretas;88.379.320,00;88.379.320,00;28.700.000,00;12.781.279,93
**********Fonte: Tesouro Municipal;88.379.320,00;88.379.320,00;28.700.000,00;12.781.279,93
*******Elemento Econômico: Obrigações Patronais - RPPS;6.807.931,00;6.807.931,00;2.400.000,00;1.294.275,08
********Categoria da Despesa: Despesas Correntes;6.807.931,00;6.807.931,00;2.400.000,00;1.294.275,08
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social;6.807.931,00;6.807.931,00;2.400.000,00;1.294.275,08
**********Fonte: Tesouro Municipal;6.807.931,00;6.807.931,00;2.400.000,00;1.294.275,08
*******Elemento Econômico: Obrigações Tributárias e Contributivas;93.032,00;93.032,00;63.452,45;27.263,15
********Categoria da Despesa: Despesas Correntes;93.032,00;93.032,00;63.452,45;27.263,15
*********Modalidade da Despesa: Aplicações Diretas;93.032,00;93.032,00;63.452,45;27.263,15
**********Fonte: Tesouro Municipal;93.032,00;93.032,00;63.452,45;27.263,15
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;5.203.572,00;5.203.572,00;3.362.145,28;1.342.023,85
********Categoria da Despesa: Despesas Correntes;5.203.572,00;5.203.572,00;3.362.145,28;1.342.023,85
*********Modalidade da Despesa: Aplicações Diretas;5.203.572,00;5.203.572,00;3.362.145,28;1.342.023,85
**********Fonte: Tesouro Municipal;5.203.572,00;5.203.572,00;3.362.145,28;1.342.023,85
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;26.958.159,00;26.958.159,00;9.751.651,92;3.571.102,93
********Categoria da Despesa: Despesas Correntes;26.958.159,00;26.958.159,00;9.751.651,92;3.571.102,93
*********Modalidade da Despesa: Aplicações Diretas;26.958.159,00;26.958.159,00;9.751.651,92;3.571.102,93
**********Fonte: Recursos Próprios da Administração Indireta;200.000,00;200.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;26.758.159,00;26.758.159,00;9.751.651,92;3.571.102,93
*******Elemento Econômico: Passagens e Despesas com Locomoção;123.422,00;123.422,00;3.215,56;2.377,44
********Categoria da Despesa: Despesas Correntes;123.422,00;123.422,00;3.215,56;2.377,44
*********Modalidade da Despesa: Aplicações Diretas;123.422,00;123.422,00;3.215,56;2.377,44
**********Fonte: Tesouro Municipal;123.422,00;123.422,00;3.215,56;2.377,44
*******Elemento Econômico: Sentenças Judiciais;825.204,00;825.204,00;611.319,00;81.379,52
********Categoria da Despesa: Despesas Correntes;825.204,00;825.204,00;611.319,00;81.379,52
*********Modalidade da Despesa: Aplicações Diretas;825.204,00;825.204,00;611.319,00;81.379,52
**********Fonte: Tesouro Municipal;825.204,00;825.204,00;611.319,00;81.379,52
*******Elemento Econômico: Vencimentos e Vantagens Fixas - Pessoal Civil;317.310.837,00;317.310.837,00;58.200.000,00;51.017.709,87
********Categoria da Despesa: Despesas Correntes;317.310.837,00;317.310.837,00;58.200.000,00;51.017.709,87
*********Modalidade da Despesa: Aplicações Diretas;317.310.837,00;317.310.837,00;58.200.000,00;51.017.709,87
**********Fonte: Tesouro Municipal;317.310.837,00;317.310.837,00;58.200.000,00;51.017.709,87
****Sub-Função: Assistência Hospitalar e Ambulatorial;418.498.782,00;418.498.782,00;145.452.066,21;31.403.108,66
*****Programa: Acesso à saúde e qualidade no atendimento - Fortalecimento de assistência a saúde;14.101.000,00;14.101.000,00;0,00;0,00
******Projeto/Atividade: Ampliação e Reforma de Equipamentos de Saúde;14.101.000,00;14.101.000,00;0,00;0,00
*******Elemento Econômico: Obras e Instalações;7.050.500,00;7.050.500,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;7.050.500,00;7.050.500,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;7.050.500,00;7.050.500,00;0,00;0,00
**********Fonte: Tesouro Municipal;7.050.500,00;7.050.500,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;7.050.500,00;7.050.500,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;7.050.500,00;7.050.500,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;7.050.500,00;7.050.500,00;0,00;0,00
**********Fonte: Tesouro Municipal;7.050.500,00;7.050.500,00;0,00;0,00
*****Programa: Acesso à saúde e qualidade no atendimento - Integralidade da atenção;404.397.782,00;404.397.782,00;145.452.066,21;31.403.108,66
******Projeto/Atividade: Oper./Manut. Unidades Hospitalares, Pronto Socorros e  Pronto Atendimento;404.236.782,00;404.236.782,00;145.450.478,01;31.403.108,66
*******Elemento Econômico: Equipamentos e Material Permanente;5.273.353,00;5.273.353,00;3.950.518,00;0,00
********Categoria da Despesa: Despesas de Capital;5.273.353,00;5.273.353,00;3.950.518,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;5.273.353,00;5.273.353,00;3.950.518,00;0,00
**********Fonte: Recursos Próprios da Administração Indireta;200.000,00;200.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.073.353,00;5.073.353,00;3.950.518,00;0,00
*******Elemento Econômico: Locação de Mão-de-Obra;5.654.296,00;5.654.296,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;5.654.296,00;5.654.296,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;5.654.296,00;5.654.296,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.654.296,00;5.654.296,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;142.534.052,00;142.534.052,00;27.543.806,14;308.861,79
********Categoria da Despesa: Despesas Correntes;142.534.052,00;142.534.052,00;27.543.806,14;308.861,79
*********Modalidade da Despesa: Aplicações Diretas;142.534.052,00;142.534.052,00;27.543.806,14;308.861,79
**********Fonte: Tesouro Municipal;50.991.310,00;50.991.310,00;12.515.054,51;0,00
**********Fonte: Transferências Federais;91.542.742,00;91.542.742,00;15.028.751,63;308.861,79
*******Elemento Econômico: Outros Auxílios Financeiros a Pessoas Físicas;87.472,00;87.472,00;21.400,00;14.600,00
********Categoria da Despesa: Despesas Correntes;87.472,00;87.472,00;21.400,00;14.600,00
*********Modalidade da Despesa: Aplicações Diretas;87.472,00;87.472,00;21.400,00;14.600,00
**********Fonte: Tesouro Municipal;87.472,00;87.472,00;21.400,00;14.600,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;948.984,00;948.984,00;142.200,80;71.100,40
********Categoria da Despesa: Despesas Correntes;948.984,00;948.984,00;142.200,80;71.100,40
*********Modalidade da Despesa: Aplicações Diretas;948.984,00;948.984,00;142.200,80;71.100,40
**********Fonte: Tesouro Municipal;948.984,00;948.984,00;142.200,80;71.100,40
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;178.883.236,00;178.883.236,00;79.461.382,10;16.901.968,26
********Categoria da Despesa: Despesas Correntes;178.883.236,00;178.883.236,00;79.461.382,10;16.901.968,26
*********Modalidade da Despesa: Aplicações Diretas;178.883.236,00;178.883.236,00;79.461.382,10;16.901.968,26
**********Fonte: Recursos Próprios da Administração Indireta;851.980,00;851.980,00;0,00;0,00
**********Fonte: Tesouro Municipal;155.858.998,00;155.858.998,00;58.505.110,24;11.867.497,60
**********Fonte: Transferências Federais;22.172.258,00;22.172.258,00;20.956.271,86;5.034.470,66
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;70.854.389,00;70.854.389,00;34.331.170,97;14.106.578,21
********Categoria da Despesa: Despesas Correntes;70.854.389,00;70.854.389,00;34.331.170,97;14.106.578,21
*********Modalidade da Despesa: Transferências a Instituições Privadas sem fins Lucrativos;70.854.389,00;70.854.389,00;34.331.170,97;14.106.578,21
**********Fonte: Tesouro Municipal;70.854.389,00;70.854.389,00;34.331.170,97;14.106.578,21
*******Elemento Econômico: Passagens e Despesas com Locomoção;1.000,00;1.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;1.000,00;1.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;1.000,00;1.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.000,00;1.000,00;0,00;0,00
******Projeto/Atividade: Projeto Sentinela;161.000,00;161.000,00;1.588,20;0,00
*******Elemento Econômico: Diárias - Civil;18.000,00;18.000,00;1.208,20;0,00
********Categoria da Despesa: Despesas Correntes;18.000,00;18.000,00;1.208,20;0,00
*********Modalidade da Despesa: Aplicações Diretas;18.000,00;18.000,00;1.208,20;0,00
**********Fonte: Transferências Federais;18.000,00;18.000,00;1.208,20;0,00
*******Elemento Econômico: Equipamentos e Material Permanente;105.000,00;105.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;105.000,00;105.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;105.000,00;105.000,00;0,00;0,00
**********Fonte: Transferências Federais;105.000,00;105.000,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;5.000,00;5.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;5.000,00;5.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;5.000,00;5.000,00;0,00;0,00
**********Fonte: Transferências Federais;5.000,00;5.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;20.000,00;20.000,00;380,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;380,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;20.000,00;20.000,00;380,00;0,00
**********Fonte: Transferências Federais;20.000,00;20.000,00;380,00;0,00
*******Elemento Econômico: Passagens e Despesas com Locomoção;13.000,00;13.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;13.000,00;13.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;13.000,00;13.000,00;0,00;0,00
**********Fonte: Transferências Federais;13.000,00;13.000,00;0,00;0,00
****Sub-Função: Tecnologia da Informação;7.426.834,00;7.426.834,00;848.647,76;254.366,94
*****Programa: Sistema de informação e processamento de dados;7.426.834,00;7.426.834,00;848.647,76;254.366,94
******Projeto/Atividade: Implantação e Operação de Sistemas de Informação e Comunicação;7.426.834,00;7.426.834,00;848.647,76;254.366,94
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;7.426.834,00;7.426.834,00;848.647,76;254.366,94
********Categoria da Despesa: Despesas Correntes;7.426.834,00;7.426.834,00;848.647,76;254.366,94
*********Modalidade da Despesa: Aplicações Diretas;7.426.834,00;7.426.834,00;848.647,76;254.366,94
**********Fonte: Tesouro Municipal;7.426.834,00;7.426.834,00;848.647,76;254.366,94
*Orgão: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;8.000,00;8.000,00;0,00;0,00
**Unidade: Autoridade Municipal de Limpeza Urbana/Fundo Munic.de Limpeza Urbana;8.000,00;8.000,00;0,00;0,00
***Função: Urbanismo;8.000,00;8.000,00;0,00;0,00
****Sub-Função: Serviços Urbanos;8.000,00;8.000,00;0,00;0,00
*****Programa: Gestão adequada dos resíduos sólidos;8.000,00;8.000,00;0,00;0,00
******Projeto/Atividade: Implementação da Autoridade Municipal de Limpeza Urbana/FMLU;8.000,00;8.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;8.000,00;8.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;8.000,00;8.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;8.000,00;8.000,00;0,00;0,00
*Orgão: Camara Municipal de São Paulo;472.053.643,00;472.053.643,00;0,00;0,00
**Unidade: Câmara Municipal;467.503.643,00;467.503.643,00;0,00;0,00
***Função: Legislativa;467.503.643,00;467.503.643,00;0,00;0,00
****Sub-Função: Ação Legislativa;437.274.363,00;437.274.363,00;0,00;0,00
*****Programa: Processo Legislativo;403.961.012,00;403.961.012,00;0,00;0,00
******Projeto/Atividade: Administração da Câmara Municipal de São Paulo;403.961.012,00;403.961.012,00;0,00;0,00
*******Elemento Econômico: Auxílio-Transporte;650.000,00;650.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;650.000,00;650.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;650.000,00;650.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;650.000,00;650.000,00;0,00;0,00
*******Elemento Econômico: Despesas de Exercícios Anteriores;100.000,00;100.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;100.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;100.000,00;100.000,00;0,00;0,00
*******Elemento Econômico: Despesas de Exercícios Anteriores;1.500.000,00;1.500.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;1.500.000,00;1.500.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;1.500.000,00;1.500.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;1.500.000,00;1.500.000,00;0,00;0,00
*******Elemento Econômico: Diárias - Civil;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
*******Elemento Econômico: Equipamentos e Material Permanente;2.101.814,00;2.101.814,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;2.101.814,00;2.101.814,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;2.101.814,00;2.101.814,00;0,00;0,00
**********Fonte: Tesouro Municipal;2.101.814,00;2.101.814,00;0,00;0,00
*******Elemento Econômico: Indenizações e Restituições;8.000.000,00;8.000.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;8.000.000,00;8.000.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;8.000.000,00;8.000.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;8.000.000,00;8.000.000,00;0,00;0,00
*******Elemento Econômico: Indenizações Trabalhistas;4.000.000,00;4.000.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;4.000.000,00;4.000.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;4.000.000,00;4.000.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;4.000.000,00;4.000.000,00;0,00;0,00
*******Elemento Econômico: Locação de Mão-de-Obra;7.797.396,00;7.797.396,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;7.797.396,00;7.797.396,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;7.797.396,00;7.797.396,00;0,00;0,00
**********Fonte: Tesouro Municipal;7.797.396,00;7.797.396,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;3.684.853,00;3.684.853,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;3.684.853,00;3.684.853,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;3.684.853,00;3.684.853,00;0,00;0,00
**********Fonte: Tesouro Municipal;3.684.853,00;3.684.853,00;0,00;0,00
*******Elemento Econômico: Material de Distribuição Gratuita;25.000,00;25.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;25.000,00;25.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;25.000,00;25.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;25.000,00;25.000,00;0,00;0,00
*******Elemento Econômico: Obrigações Patronais;34.376.830,00;34.376.830,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;34.376.830,00;34.376.830,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;34.376.830,00;34.376.830,00;0,00;0,00
**********Fonte: Tesouro Municipal;34.376.830,00;34.376.830,00;0,00;0,00
*******Elemento Econômico: Obrigações Patronais - RPPS;25.044.205,00;25.044.205,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;25.044.205,00;25.044.205,00;0,00;0,00
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social;25.044.205,00;25.044.205,00;0,00;0,00
**********Fonte: Tesouro Municipal;25.044.205,00;25.044.205,00;0,00;0,00
*******Elemento Econômico: Outros Benefícios Assistenciais;400.000,00;400.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;400.000,00;400.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;400.000,00;400.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;400.000,00;400.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;43.436.942,00;43.436.942,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;43.436.942,00;43.436.942,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;43.436.942,00;43.436.942,00;0,00;0,00
**********Fonte: Tesouro Municipal;43.436.942,00;43.436.942,00;0,00;0,00
*******Elemento Econômico: Passagens e Despesas com Locomoção;70.000,00;70.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;70.000,00;70.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;70.000,00;70.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;70.000,00;70.000,00;0,00;0,00
*******Elemento Econômico: Premiações Culturais, Artísticas, Científicas, Desport. e Outras;87.728,00;87.728,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;87.728,00;87.728,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;87.728,00;87.728,00;0,00;0,00
**********Fonte: Tesouro Municipal;87.728,00;87.728,00;0,00;0,00
*******Elemento Econômico: Salário Família;5.120,00;5.120,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;5.120,00;5.120,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;5.120,00;5.120,00;0,00;0,00
**********Fonte: Tesouro Municipal;5.120,00;5.120,00;0,00;0,00
*******Elemento Econômico: Serviços de Consultoria;10.000,00;10.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;10.000,00;10.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;10.000,00;10.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.000,00;10.000,00;0,00;0,00
*******Elemento Econômico: Vencimentos e Vantagens Fixas - Pessoal Civil;272.571.124,00;272.571.124,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;272.571.124,00;272.571.124,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;272.571.124,00;272.571.124,00;0,00;0,00
**********Fonte: Tesouro Municipal;272.571.124,00;272.571.124,00;0,00;0,00
*****Programa: Suporte administrativo;33.313.351,00;33.313.351,00;0,00;0,00
******Projeto/Atividade: Construção de Edificações da Câmara Municipal de São Paulo;22.001.816,00;22.001.816,00;0,00;0,00
*******Elemento Econômico: Obras e Instalações;10.050.005,00;10.050.005,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;10.050.005,00;10.050.005,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;10.050.005,00;10.050.005,00;0,00;0,00
**********Fonte: Tesouro Municipal;10.050.005,00;10.050.005,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;11.951.811,00;11.951.811,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;11.951.811,00;11.951.811,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;11.951.811,00;11.951.811,00;0,00;0,00
**********Fonte: Tesouro Municipal;11.951.811,00;11.951.811,00;0,00;0,00
******Projeto/Atividade: Reforma e Ampliação de Edificações da Câmara Municipal de São Paulo;11.311.535,00;11.311.535,00;0,00;0,00
*******Elemento Econômico: Obras e Instalações;2.134.252,00;2.134.252,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;2.134.252,00;2.134.252,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;2.134.252,00;2.134.252,00;0,00;0,00
**********Fonte: Tesouro Municipal;2.134.252,00;2.134.252,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;9.177.283,00;9.177.283,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;9.177.283,00;9.177.283,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;9.177.283,00;9.177.283,00;0,00;0,00
**********Fonte: Tesouro Municipal;9.177.283,00;9.177.283,00;0,00;0,00
****Sub-Função: Administração Geral;29.569.280,00;29.569.280,00;0,00;0,00
*****Programa: Divulgação Oficial;29.569.280,00;29.569.280,00;0,00;0,00
******Projeto/Atividade: Câmara Municipal - Comunicação;29.569.280,00;29.569.280,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;29.569.280,00;29.569.280,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;29.569.280,00;29.569.280,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;29.569.280,00;29.569.280,00;0,00;0,00
**********Fonte: Tesouro Municipal;29.569.280,00;29.569.280,00;0,00;0,00
****Sub-Função: Tecnologia da Informação;660.000,00;660.000,00;0,00;0,00
*****Programa: Sistema de informação e processamento de dados;660.000,00;660.000,00;0,00;0,00
******Projeto/Atividade: Implantação e Operação de Sistemas de Informação e Comunicação;660.000,00;660.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;660.000,00;660.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;660.000,00;660.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;660.000,00;660.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;660.000,00;660.000,00;0,00;0,00
**Unidade: Fundo Especial de Despesas da Câmara Municipal de São Paulo;4.550.000,00;4.550.000,00;0,00;0,00
***Função: Legislativa;4.550.000,00;4.550.000,00;0,00;0,00
****Sub-Função: Ação Legislativa;4.550.000,00;4.550.000,00;0,00;0,00
*****Programa: Processo Legislativo;4.550.000,00;4.550.000,00;0,00;0,00
******Projeto/Atividade: Fundo Especial de Despesas da Câmara Municipal de São Paulo - FECAM;4.550.000,00;4.550.000,00;0,00;0,00
*******Elemento Econômico: Equipamentos e Material Permanente;2.000.000,00;2.000.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;2.000.000,00;2.000.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;2.000.000,00;2.000.000,00;0,00;0,00
**********Fonte: Tesouro Municipal - Recursos Vinculados;2.000.000,00;2.000.000,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;100.000,00;100.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;100.000,00;0,00;0,00
**********Fonte: Tesouro Municipal - Recursos Vinculados;100.000,00;100.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;2.450.000,00;2.450.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;2.450.000,00;2.450.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;2.450.000,00;2.450.000,00;0,00;0,00
**********Fonte: Tesouro Municipal - Recursos Vinculados;2.450.000,00;2.450.000,00;0,00;0,00
*Orgão: Companhia Metropolitana de Habitação de São Paulo;149.560.440,00;149.560.440,00;32.796.471,81;9.063.171,78
**Unidade: Companhia Metropolitana de Habitação de São Paulo;149.560.440,00;149.560.440,00;32.796.471,81;9.063.171,78
***Função: Habitação;132.469.492,00;132.469.492,00;32.796.471,81;9.063.171,78
****Sub-Função: Administração Geral;64.000.000,00;64.000.000,00;24.190.206,78;8.750.585,11
*****Programa: Suporte administrativo;64.000.000,00;64.000.000,00;24.190.206,78;8.750.585,11
******Projeto/Atividade: Administração da Companhia Metropolitana de Habitação de São Paulo - COHAB;64.000.000,00;64.000.000,00;24.190.206,78;8.750.585,11
*******Elemento Econômico: Despesas de Exercícios Anteriores;0,00;690.000,00;680.486,34;680.486,34
